Date,USDKRW Curncy
2000-12-21,1227.8
2000-12-22,1237.15
2000-12-25,1237.35
2000-12-26,1252.25
2000-12-27,1258.5
2000-12-28,1252.5
2000-12-29,1265
2001-01-01,1262.4
2001-01-02,1275.7
2001-01-03,1271.25
2001-01-04,1265.5
2001-01-05,1264.5
2001-01-08,1263.5
2001-01-09,1252
2001-01-10,1270.4
2001-01-11,1278.5
2001-01-12,1278
2001-01-15,1286
2001-01-16,1282
2001-01-17,1278
2001-01-18,1285
2001-01-19,1276.9
2001-01-22,1274
2001-01-23,1274
2001-01-24,1275.5
2001-01-25,1276.1
2001-01-26,1280.8
2001-01-29,1266.5
2001-01-30,1265
2001-01-31,1257.5
2001-02-01,1256.5
2001-02-02,1248.5
2001-02-05,1262.1
2001-02-06,1258.1
2001-02-07,1267.5
2001-02-08,1266.1
2001-02-09,1264
2001-02-12,1264.55
2001-02-13,1253.5
2001-02-14,1251.5
2001-02-15,1244
2001-02-16,1243
2001-02-19,1246
2001-02-20,1233
2001-02-21,1239.1
2001-02-22,1243
2001-02-23,1247.5
2001-02-26,1247.13
2001-02-27,1248.9
2001-02-28,1254
2001-03-01,1253.5
2001-03-02,1272
2001-03-05,1274
2001-03-06,1263
2001-03-07,1274.25
2001-03-08,1271.1
2001-03-09,1269.3
2001-03-12,1279
2001-03-13,1275.05
2001-03-14,1278
2001-03-15,1289.5
2001-03-16,1291
2001-03-19,1296
2001-03-20,1294.43
2001-03-21,1305.5
2001-03-22,1322.5
2001-03-23,1309.5
2001-03-26,1310.75
2001-03-27,1312
2001-03-28,1301
2001-03-29,1322.5
2001-03-30,1331.5
2001-04-02,1349.5
2001-04-03,1344
2001-04-04,1368
2001-04-05,1349.5
2001-04-06,1342.5
2001-04-09,1339
2001-04-10,1333
2001-04-11,1325
2001-04-12,1316.6
2001-04-13,1316.05
2001-04-16,1329.5
2001-04-17,1324.5
2001-04-18,1313.5
2001-04-19,1297.5
2001-04-20,1313
2001-04-23,1313.5
2001-04-24,1304.68
2001-04-25,1308.2
2001-04-26,1317
2001-04-27,1327
2001-04-30,1315.5
2001-05-01,1317
2001-05-02,1302
2001-05-03,1295.1
2001-05-04,1291.9
2001-05-07,1296.5
2001-05-08,1303
2001-05-09,1302.1
2001-05-10,1305.5
2001-05-11,1297.1
2001-05-14,1297.9
2001-05-15,1304.1
2001-05-16,1309
2001-05-17,1301.99
2001-05-18,1307
2001-05-21,1302.1
2001-05-22,1298.75
2001-05-23,1287
2001-05-24,1285
2001-05-25,1288.5
2001-05-28,1295
2001-05-29,1289.6
2001-05-30,1290
2001-05-31,1280
2001-06-01,1283.75
2001-06-04,1284.5
2001-06-05,1288
2001-06-06,1285.5
2001-06-07,1285.5
2001-06-08,1285
2001-06-11,1288
2001-06-12,1290
2001-06-13,1292
2001-06-14,1292
2001-06-15,1292
2001-06-18,1292
2001-06-19,1304
2001-06-20,1296
2001-06-21,1302
2001-06-22,1303
2001-06-25,1302
2001-06-26,1299.5
2001-06-27,1297.5
2001-06-28,1303
2001-06-29,1300.5
2001-07-02,1300
2001-07-03,1293
2001-07-04,1295.5
2001-07-05,1295.6
2001-07-06,1292.5
2001-07-09,1295.5
2001-07-10,1299
2001-07-11,1306.5
2001-07-12,1298
2001-07-13,1300.5
2001-07-16,1310
2001-07-17,1310
2001-07-18,1306
2001-07-19,1300.5
2001-07-20,1300.6
2001-07-23,1310
2001-07-24,1308.5
2001-07-25,1305.5
2001-07-26,1295.5
2001-07-27,1295.5
2001-07-30,1300
2001-07-31,1298
2001-08-01,1300
2001-08-02,1284
2001-08-03,1278.7
2001-08-06,1289
2001-08-07,1285
2001-08-08,1280
2001-08-09,1285.5
2001-08-10,1281
2001-08-13,1278.5
2001-08-14,1278.5
2001-08-15,1276.5
2001-08-16,1276
2001-08-17,1286
2001-08-20,1281
2001-08-21,1283.5
2001-08-22,1284
2001-08-23,1279.5
2001-08-24,1281.5
2001-08-27,1278.75
2001-08-28,1281
2001-08-29,1278.5
2001-08-30,1278.8
2001-08-31,1279.5
2001-09-03,1277.83
2001-09-04,1275.5
2001-09-05,1279.5
2001-09-06,1286
2001-09-07,1282.5
2001-09-10,1286.5
2001-09-11,1283.5
2001-09-12,1284.5
2001-09-13,1291.5
2001-09-14,1297.5
2001-09-17,1298.5
2001-09-18,1296.5
2001-09-19,1290.2
2001-09-20,1290.5
2001-09-21,1296
2001-09-24,1304.5
2001-09-25,1305
2001-09-26,1297.5
2001-09-27,1302
